DATE,afternoon_dummy,HourlyPrecipitation,HourlyDryBulbTemperature,treatment
2010-03-15,0,0.0,44.666666666666664,0
2010-03-15,1,0.01,44.666666666666664,0
2010-03-16,0,0.0,51.0,0
2010-03-16,1,0.0,58.333333333333336,0
2010-03-17,0,0.0,55.0,0
2010-03-17,1,0.0,62.666666666666664,0
2010-03-18,0,0.0,59.333333333333336,0
2010-03-18,1,0.0,66.66666666666667,0
2010-03-19,0,0.0,60.666666666666664,0
2010-03-19,1,0.0,69.0,0
2010-03-20,0,0.0,65.33333333333333,0
2010-03-20,1,0.0,71.66666666666667,0
2010-03-21,0,0.0,57.333333333333336,0
2010-03-21,1,0.0,62.0,0
2010-03-22,0,0.04,53.09090909090909,0
2010-03-22,1,0.09,53.857142857142854,0
2010-03-23,0,0.0,50.0,0
2010-03-23,1,0.0,49.25,0
2010-03-24,0,0.0,47.666666666666664,0
2010-03-24,1,0.0,55.666666666666664,0
2010-03-25,0,0.0,59.333333333333336,0
2010-03-25,1,0.0,59.0,0
2010-03-26,0,0.0,39.0,0
2010-03-26,1,0.0,41.0,0
2010-03-27,0,0.0,35.0,0
2010-03-27,1,0.0,41.0,0
2010-03-28,0,0.0,42.75,0
2010-03-28,1,0.0,44.75,0
2010-03-31,0,0.0,49.4,0
2010-03-31,1,0.0,54.6,0
2010-04-01,0,0.0,54.333333333333336,0
2010-04-01,1,0.0,63.0,0
2010-04-02,0,0.0,61.0,0
2010-04-02,1,0.0,66.0,0
2010-04-03,0,0.0,59.666666666666664,0
2010-04-03,1,0.0,63.333333333333336,0
2010-04-04,0,0.0,63.0,0
2010-04-04,1,0.0,72.66666666666667,0
2010-04-05,0,0.0,67.66666666666667,0
2010-04-05,1,0.0,73.33333333333333,0
2010-04-06,0,0.0,65.66666666666667,0
2010-04-06,1,0.0,75.0,0
2010-04-07,0,0.0,81.66666666666667,0
2010-04-07,1,0.0,89.66666666666667,0
2010-04-08,0,0.0,74.33333333333333,0
2010-04-08,1,0.0,77.33333333333333,0
2010-04-09,0,0.0,55.4,0
2010-04-09,1,0.0,56.5,0
2010-04-10,0,0.0,47.0,0
2010-04-10,1,0.0,56.333333333333336,0
2010-04-11,0,0.0,66.0,0
2010-04-11,1,0.0,73.0,0
2010-04-12,0,0.0,59.333333333333336,0
2010-04-12,1,0.0,64.0,0
2010-04-13,0,0.0,53.0,0
2010-04-13,1,0.0,54.0,0
2010-04-14,0,0.0,56.666666666666664,0
2010-04-14,1,0.0,64.0,0
2010-04-15,0,0.0,63.666666666666664,0
2010-04-15,1,0.0,69.66666666666667,0
2010-04-16,0,0.0,53.0,0
2010-04-16,1,0.0,55.333333333333336,0
2010-04-17,0,0.0,50.75,0
2010-04-17,1,0.0,51.666666666666664,0
2010-04-18,0,0.0,50.0,0
2010-04-18,1,0.0,54.333333333333336,0
2010-04-19,0,0.0,56.0,0
2010-04-19,1,0.0,58.333333333333336,0
2010-04-20,0,0.0,62.333333333333336,0
2010-04-20,1,0.0,68.0,0
2010-04-21,0,0.0,64.66666666666667,0
2010-04-21,1,0.0,68.0,0
2010-04-22,0,0.0,59.5,0
2010-04-22,1,0.0,68.33333333333333,0
2010-04-23,0,0.0,56.333333333333336,0
2010-04-23,1,0.0,64.66666666666667,0
2010-04-24,0,0.0,59.666666666666664,0
2010-04-24,1,0.0,66.33333333333333,0
2010-04-26,0,0.04,52.0,0
2010-04-26,1,0.05,52.0,0
2010-04-27,0,0.0,53.142857142857146,1
2010-04-27,1,0.05,54.0,1
2010-04-28,0,0.0,48.0,0
2010-04-28,1,0.0,51.666666666666664,0
2010-04-29,0,0.0,58.333333333333336,0
2010-04-29,1,0.0,66.0,0
2010-04-30,0,0.0,68.33333333333333,0
2010-04-30,1,0.0,75.33333333333333,0
2010-05-01,0,0.0,73.66666666666667,0
2010-05-01,1,0.0,83.33333333333333,0
2010-05-02,0,0.0,79.0,0
2010-05-02,1,0.0,85.66666666666667,0
2010-05-03,0,0.0,69.85714285714286,0
2010-05-03,1,0.0,74.8,0
2010-05-04,0,0.0,74.66666666666667,0
2010-05-04,1,0.0,79.33333333333333,0
2010-05-05,0,0.0,73.33333333333333,0
