STATION,DATE,REPORT_TYPE,SOURCE,AWND,BackupDirection,BackupDistance,BackupDistanceUnit,BackupElements,BackupElevation,BackupElevationUnit,BackupEquipment,BackupLatitude,BackupLongitude,BackupName,CDSD,CLDD,DSNW,DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyAverageSeaLevelPressure,DailyAverageStationPressure,DailyAverageWetBulbTemperature,DailyAverageWindSpeed,DailyCoolingDegreeDays,DailyDepartureFromNormalAverageTemperature,DailyHeatingDegreeDays,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,DailyPeakWindDirection,DailyPeakWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall,DailySustainedWindDirection,DailySustainedWindSpeed,DailyWeather,HDSD,HTDD,HeavyFog,HourlyAltimeterSetting,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyPresentWeatherType,HourlyPressureChange,HourlyPressureTendency,HourlyRelativeHumidity,HourlySeaLevelPressure,HourlySkyConditions,HourlyStationPressure,HourlyVisibility,HourlyWetBulbTemperature,HourlyWindDirection,HourlyWindGustSpeed,HourlyWindSpeed,MonthlyAverageRH,MonthlyDaysWithGT001Precip,MonthlyDaysWithGT010Precip,MonthlyDaysWithGT32Temp,MonthlyDaysWithGT90Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithLT32Temp,MonthlyDepartureFromNormalAverageTemperature,MonthlyDepartureFromNormalCoolingDegreeDays,MonthlyDepartureFromNormalHeatingDegreeDays,MonthlyDepartureFromNormalMaximumTemperature,MonthlyDepartureFromNormalMinimumTemperature,MonthlyDepartureFromNormalPrecipitation,MonthlyDewpointTemperature,MonthlyGreatestPrecip,MonthlyGreatestPrecipDate,MonthlyGreatestSnowDepth,MonthlyGreatestSnowDepthDate,MonthlyGreatestSnowfall,MonthlyGreatestSnowfallDate,MonthlyMaxSeaLevelPressureValue,MonthlyMaxSeaLevelPressureValueDate,MonthlyMaxSeaLevelPressureValueTime,MonthlyMaximumTemperature,MonthlyMeanTemperature,MonthlyMinSeaLevelPressureValue,MonthlyMinSeaLevelPressureValueDate,MonthlyMinSeaLevelPressureValueTime,MonthlyMinimumTemperature,MonthlySeaLevelPressure,MonthlyStationPressure,MonthlyTotalLiquidPrecipitation,MonthlyTotalSnowfall,MonthlyWetBulb,NormalsCoolingDegreeDay,NormalsHeatingDegreeDay,REM,REPORT_TYPE,SOURCE,ShortDurationEndDate005,ShortDurationEndDate010,ShortDurationEndDate015,ShortDurationEndDate020,ShortDurationEndDate030,ShortDurationEndDate045,ShortDurationEndDate060,ShortDurationEndDate080,ShortDurationEndDate100,ShortDurationEndDate120,ShortDurationEndDate150,ShortDurationEndDate180,ShortDurationPrecipitationValue005,ShortDurationPrecipitationValue010,ShortDurationPrecipitationValue015,ShortDurationPrecipitationValue020,ShortDurationPrecipitationValue030,ShortDurationPrecipitationValue045,ShortDurationPrecipitationValue060,ShortDurationPrecipitationValue080,ShortDurationPrecipitationValue100,ShortDurationPrecipitationValue120,ShortDurationPrecipitationValue150,ShortDurationPrecipitationValue180,Sunrise,Sunset,TStorms,WindEquipmentChangeDate
72503394728,2010-01-01T04:51:00,FM-15,6,,ESE,0.5,mi,SNOW,,,SNOWBOARD,,,CENTRAL PARK ZOO,,,,,,,,,,,,,,,,,,,,,,,,,,,29.97,33,34,0,BR:1 ||,,,97,29.94,OVC:08 7,29.8,2.5,34,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET10401/01/10 04:51:02 METAR KNYC 010951Z 00000KT 2 1/2SM BR OVC007 01/01 A2997 RMK AO2 SLP140 T00110006 TSNO,FM-15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/18/2006
72503394728,2010-01-01T05:33:00,FM-16,6,,ESE,0.5,mi,SNOW,,,SNOWBOARD,,,CENTRAL PARK ZOO,,,,,,,,,,,,,,,,,,,,,,,,,,,29.97,32,34,,BR:1 ||,,,93,,OVC:08 7,29.8,3,33,270,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET08301/01/10 05:33:02 SPECI KNYC 011033Z 27005KT 3SM BR OVC007 01/00 A2997 RMK AO2 TSNO,FM-16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/18/2006
72503394728,2010-01-01T05:49:00,FM-16,6,,ESE,0.5,mi,SNOW,,,SNOWBOARD,,,CENTRAL PARK ZOO,,,,,,,,,,,,,,,,,,,,,,,,,,,29.97,32,34,,BR:1 ||,,,93,,OVC:08 7,29.8,2.5,33,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09201/01/10 05:49:02 SPECI KNYC 011049Z 00000KT 2 1/2SM BR OVC007 01/00 A2997 RMK AO2 TSNO FIBI,FM-16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/18/2006
72503394728,2010-01-01T05:51:00,FM-15,6,,ESE,0.5,mi,SNOW,,,SNOWBOARD,,,CENTRAL PARK ZOO,,,,,,,,,,,,,,,,,,,,,,,,,,,29.97,33,33,0,BR:1 ||,,,100,29.94,OVC:08 7,29.8,2.5,33,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET10401/01/10 05:51:02 METAR KNYC 011051Z 00000KT 2 1/2SM BR OVC007 01/01 A2997 RMK AO2 SLP140 T00060006 TSNO,FM-15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/18/2006
72503394728,2010-01-01T06:11:00,FM-16,6,,ESE,0.5,mi,SNOW,,,SNOWBOARD,,,CENTRAL PARK ZOO,,,,,,,,,,,,,,,,,,,,,,,,,,,29.96,34,34,,BR:1 ||,,,100,,OVC:08 7,29.79,3,34,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET08301/01/10 06:11:02 SPECI KNYC 011111Z 00000KT 3SM BR OVC007 01/01 A2996 RMK AO2 TSNO,FM-16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/18/2006
72503394728,2010-01-01T06:28:00,FM-16,6,,ESE,0.5,mi,SNOW,,,SNOWBOARD,,,CENTRAL PARK ZOO,,,,,,,,,,,,,,,,,,,,,,,,,,,29.96,30,34,,BR:1 ||,,,87,,OVC:08 7,29.79,2,32,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09601/01/10 06:28:02 SPECI KNYC 011128Z 00000KT 2SM BR OVC007 01/M01 A2996 RMK AO2 CIG 006V010 TSNO,FM-16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/18/2006
72503394728,2010-01-01T06:38:00,FM-16,6,,ESE,0.5,mi,SNOW,,,SNOWBOARD,,,CENTRAL PARK ZOO,,,,,,,,,,,,,,,,,,,,,,,,,,,29.96,34,34,,BR:1 ||,,,100,,OVC:08 7,29.79,4,34,VRB,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09501/01/10 06:38:02 SPECI KNYC 011138Z VRB03KT 4SM BR OVC007 01/01 A2996 RMK AO2 CIG 006V012 TSNO,FM-16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/18/2006
72503394728,2010-01-01T06:51:00,FM-15,6,,ESE,0.5,mi,SNOW,,,SNOWBOARD,,,CENTRAL PARK ZOO,,,,,,,,,,,,,,,,,,,,,,,,,,,29.96,33,34,0,BR:1 ||,0.01,8,97,29.94,OVC:08 9,29.79,5,34,VRB,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET14201/01/10 06:51:02 METAR KNYC 011151Z VRB03KT 5SM BR OVC009 01/01 A2996 RMK AO2 CIG 007V013 SLP138 60001 70025 T00110006 10011 20006 58005 TSNO,FM-15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/18/2006
72503394728,2010-01-01T07:10:00,FM-16,6,,ESE,0.5,mi,SNOW,,,SNOWBOARD,,,CENTRAL PARK ZOO,,,,,,,,,,,,,,,,,,,,,,,,,,,29.96,34,36,,BR:1 ||,,,93,,FEW:02 9 OVC:08 17,29.79,6,35,240,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09001/01/10 07:10:02 SPECI KNYC 011210Z 24003KT 6SM BR FEW009 OVC017 02/01 A2996 RMK AO2 TSNO,FM-16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/18/2006
72503394728,2010-01-01T07:51:00,FM-15,6,,ESE,0.5,mi,SNOW,,,SNOWBOARD,,,CENTRAL PARK ZOO,,,,,,,,,,,,,,,,,,,,,,,,,,,29.96,33,35,0,,,,93,29.94,OVC:08 19,29.79,7,34,VRB,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09701/01/10 07:51:02 METAR KNYC 011251Z VRB03KT 7SM OVC019 02/01 A2996 RMK AO2 SLP138 T00170006 TSNO,FM-15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/18/2006
